Date,Description,Debit,Credit,Balance
07-02-2025,UPI-ACTFIBERNET-3154,1107.96,,57427.450000000004
08-02-2025,UPI-PHARMEASY-1710,809.72,,66741.99000000002
11-02-2025,Jio,1257.46,,76242.3
11-02-2025,UPI-GOLD'SGYM-3038,1613.58,,64199.8
11-02-2025,UPI-RAPIDO-3591,115.32,,41276.76000000001
12-02-2025,UPI-UDEMY-7303,3195.13,,61713.980000000025
12-02-2025,UPI-AIRTEL-6659,1706.7,,50851.33000000002
13-02-2025,Salary,,60000,76642.38
14-02-2025,UPI-INDIANRAILWAYS-8315,563.52,,26906.43
14-02-2025,Udemy,749.7,,75892.68000000001
14-02-2025,UPI-STARBUCKS-1816,1016.29,,71004.28000000003
14-02-2025,Udemy,5778.73,,37755.44000000002
15-02-2025,UPI-JIO-2867,1858.4,,35897.040000000015
17-02-2025,UPI-CULT.FIT-5719,612.29,,32074.36
18-02-2025,Namma Metro,363.9,,48989.39000000002
18-02-2025,Zomato,133.17,,56029.15000000001
18-02-2025,Blinkit,96.44,,36254.54000000001
19-02-2025,UPI-DECATHLON-6042,1353.25,,107027.70000000001
20-02-2025,Cashback,,1249.85,76189.98000000001
20-02-2025,UPI-DMART-5862,4539.73,,50759.71000000002
21-02-2025,UPI-DECATHLON-1218,2988.38,,67551.71000000002
21-02-2025,UPI-ACTFIBERNET-9553,1719.23,,36350.98000000001
22-02-2025,Flipkart,4112.71,,72625.12999999999
24-02-2025,Unacademy,2413.17,,38329.10000000001
25-02-2025,UPI-CULT.FIT-4108,1179.23,,64909.11000000002
25-02-2025,UPI-SPOTIFY-9905,910.32,,34757.830000000016
26-02-2025,UPI-DMART-1389,228.89,,35668.150000000016
28-02-2025,UPI-APOLLOPHARMACY-2296,1711.29,,59656.910000000025
01-03-2025,UPI-UNACADEMY-9208,6169.05,,100858.65000000001
03-03-2025,Reliance Fresh,3525.87,,16642.38
03-03-2025,Salary,,60000,108989.39000000001
04-03-2025,Interest Credit,,287.77,73550.30000000002
06-03-2025,UPI-BYJU'S-7422,9220.85,,87347.6
08-03-2025,BESCOM,1893.54,,27151.18
08-03-2025,BookMyShow,557.78,,21611.16
08-03-2025,Cult.fit,2937.08,,61262.72
11-03-2025,UPI-AIRTEL-6489,653.65,,66088.34000000003
12-03-2025,Flipkart,3071.11,,96568.45000000001
12-03-2025,Byju's,7560.22,,68239.49
14-03-2025,UPI-GOLD'SGYM-2781,2814.47,,23063.98
16-03-2025,UPI-UBER-6762,615.82,,86731.78
16-03-2025,Byju's,8865.21,,44353.79000000001
18-03-2025,UPI-BMTC-3740,350.69,,78748.24
19-03-2025,UPI-KFC-5338,935.6,,46308.54
19-03-2025,ACT Fibernet,1687.98,,79098.93000000001
19-03-2025,UPI-KFC-5320,1495.71,,58535.41
20-03-2025,UPI-BYJU'S-6797,3923.34,,49353.29000000002
21-03-2025,UPI-STARBUCKS-3753,597.96,,67641.53
21-03-2025,BESCOM,798.45,,56629.00000000001
21-03-2025,UPI-BMTC-9911,466.68,,56162.32000000001
21-03-2025,UPI-UDEMY-6657,9072.4,,27182.140000000007
23-03-2025,UPI-APOLLOPHARMACY-5347,2742.18,,38070.210000000014
26-03-2025,Refund,,1726.83,40055.930000000015
28-03-2025,Refund,,1960.0,52558.03000000002
29-03-2025,UPI-HOTSTAR-5523,337.0,,29044.72
29-03-2025,UPI-BOOKMYSHOW-2044,345.78,,61368.200000000026
29-03-2025,Udemy,5944.87,,80786.91
30-03-2025,UPI-PHARMEASY-3145,395.86,,29381.72
30-03-2025,Zomato,1219.09,,99639.56000000001
31-03-2025,Interest Credit,,918.53,27469.95
31-03-2025,UPI-DECATHLON-5915,1529.73,,72020.57000000002
01-04-2025,Freelance Payment,,875.37,76768.05
01-04-2025,UPI-GOLD'SGYM-2217,2451.72,,41902.07000000001
15-01-2025,NETFLIX SUBSCRIPTION,499,,72625.12999999999
15-01-2025,SPOTIFY PREMIUM,119,,72625.12999999999
15-01-2025,AMAZON PRIME,1499,,72625.12999999999
14-02-2025,NETFLIX SUBSCRIPTION,499,,72625.12999999999
14-02-2025,SPOTIFY PREMIUM,119,,72625.12999999999
14-02-2025,AMAZON PRIME,1499,,72625.12999999999
16-03-2025,NETFLIX SUBSCRIPTION,499,,72625.12999999999
16-03-2025,SPOTIFY PREMIUM,119,,72625.12999999999
16-03-2025,AMAZON PRIME,1499,,72625.12999999999
